semSort,鑑ヘッダ\n文書ヘッダ\n明細行,core_id,id,レベル,繰返し,項目名,項目種,Object Class,Property,Representation,Associated Class,項目定義,UN_CCL_ID,項目種,行番号,SME ID,項目名,項目定義,既定値,繰返し,Level,SME CII XPath,PINT syntax sort,Id,Card.,Level,Business Term,Business Term ja,Description,説明,既定値,UBL XPath
1000,鑑ヘッダ,JBG-00,A01,0,0..n,統合請求書,ABIE,Invoice,,,,売り手が発注者に交付する月締め統合請求文書（メッセージ）,,MA,1000,CL0,統合請求書,受注者が発注者に交付する月締め統合請求文書（メッセージ）,,－,1,/rsm:SMEinvoice,1000,IBG-00,－,0,Invoice,デジタルインボイス,,,,/Invoice
1010,鑑ヘッダ,JBT-001,A01-01,1,1..1,文書通貨コード,BBIE,Invoice,InvoiceCurrencyCode,Code,,文書の通貨コード。デフォルトはJPY,UN01005914,BBIE,2030,IID65,文書通貨コード,文書の通貨コード。デフォルトはJPY,,1..1,4,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:InvoiceCurrencyCode,1110,IBT-005,1..1,1,Invoice currency code,請求書通貨コード,"The currency in which all Invoice amounts are given	 except for the Total TAX amount in accounting currency.",請求書に記載された通貨を表すコード。会計通貨での請求書消費税合計金額を除き、請求書に記載されている全て金額の表示の通貨コード。,,/Invoice/cbc:DocumentCurrencyCode
1020,鑑ヘッダ,JBT-002,A01-02,1,0..1,税通貨コード,BBIE,Invoice,TaxCurrencyCode,Code,,税の通貨コード。JPY,UN01005913,BBIE,2040,IID64,税通貨コード,税の通貨コード。デフォルトはJPY,,1..1,4,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:TaxCurrencyCode,1120,IBT-006,0..1,1,Tax accounting currency,税会計報告用通貨コード,The currency used for TAX accounting and reporting purposes as accepted or required in the country of the Seller.,会計報告や税務報告に使用する通貨を表すコード。売り手の国で認められたもしくは要求された会計報告や税務報告に使用する通貨を表すコード。,,/Invoice/cbc:TaxCurrencyCode
1030,鑑ヘッダ,JBT-003,A01-03,1,0..1,支払通貨コード,BBIE,Invoice,PaymentCurrencyCode,Code,,請求支払通貨コード（デフォルトはJPY）,UN01005915,BBIE,2050,IID66,支払通貨コード,請求支払通貨コード（デフォルトはJPY）,,0..1,4,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentCurrencyCode,,,,,,,,,,
1040,鑑ヘッダ,JBT-004,A01-04,1,0..1,買い手参照,BBIE,Invoice,BuyerReference,Code,,買い手によって割り当てられたIDで、買い手の請求書精算業務の処理ワークフローで使用する。,UN01008552,BBIE,,,,,,,,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:BuyerReference,1140,IBT-010,0..1,1,Buyer reference,買い手参照,An identifier assigned by the Buyer used for internal routing purposes.,買い手によって割り当てられたIDで、買い手の請求書精算業務の処理ワークフローで使用する。,,/Invoice/cbc:BuyerReference
1050,鑑ヘッダ,,,,,,,,,,,メッセージの設定内容に関する情報からなるクラス,UN01005479,ASMA,1010,CL1,取引設定クラス,メッセージの設定内容に関する情報からなるクラス,,1..1,2,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext,,,,,,,,,,
1060,鑑ヘッダ,JBT-005,A01-05,1,0..1,取引識別子,BBIE,Invoice,TransactionID,Code,,メッセージがやり取りされる取引番号,UN01005480,BBIE,1020,ID1,取引識別子,メッセージがやり取りされる取引番号,,0..1,3,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:SpecifiedTransactionID,,,,,,,,,,
1070,鑑ヘッダ,JBT-006,A01-06,1,0..1,処理日時,BBIE,Invoice,TransactionDateTime,Date,,メッセージがやり取りされる日時,UN01012746,BBIE,1030,ID2,処理日時,メッセージがやり取りされる日時,,0..1,3,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:ProcessingTransactionDateTime/udt:DateTimeString,,,,,,,,,,
1080,鑑ヘッダ,,,,,,,,,,,取引設定内容の取引プロセスに関する情報,UN01005481,ASBIE,1040,CL2,取引設定内容/取引プロセスグループ,取引設定内容の取引プロセスに関する情報,,1..1,3,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter,,,,,,,,,,
1090,鑑ヘッダ,JBT-007,A01-07,1,1..1,取引プロセス識別子,BBIE,Invoice,ProcessID,Code,,取引プロセスの識別子(ID)\n共通EDIプロバイダがプロセスをセットする,UN01005472,BBIE,1050,ID3,取引プロセス識別子,取引プロセスの識別子(ID)\n共通EDIプロバイダがプロセスをセットする,,1..1,4,/rsm:SMEinvoice/rsm:CIExchangedDocumentContext/ram:BusinessProcessSpecifiedCIDocumentContextParameter/ram:ID,1020,IBT-023,1..1,2,Business process type,ビジネスプロセスタイプ,"Identifies the business process context in which the transaction appears	 to enable the Buyer to process the Invoice in an appropriate way.",取引プロセスの名称。買い手が適切な方法で請求書を処理することができるように、取引が行われたビジネスプロセスを識別する。,,/Invoice/cbc:ProfileID
